FullDate,WeekDay,Day,Temperature,UVValue,WindDirection,Humidity,DewPoint,Pressure,Cloud,Visibility,CloudCeiling
2025-09-26 01:09:50,Thứ Sáu, 26 tháng 9,26°C,0.6 (Thấp),TTN 9 km/h,94%,25° C,↑ 1009 mb,91%,16 km,5500 m
2025-09-27 01:06:42,Thứ Bảy, 27 tháng 9,25°C,0.3 (Thấp),B 4 km/h,94%,24° C,↑ 1009 mb,91%,16 km,1100 m
2025-09-28 01:16:39,Chủ Nhật, 28 tháng 9,26°C,0.4 (Thấp),TTN 19 km/h,94%,25° C,↔ 1006 mb,91%,16 km,2100 m
2025-09-29 01:11:43,Thứ Hai, 29 tháng 9,28°C,1.2 (Thấp),N 11 km/h,88%,26° C,↑ 1008 mb,0%,16 km,1700 m
2025-09-30 01:10:54,Thứ Ba, 30 tháng 9,27°C,1.2 (Thấp),B 4 km/h,94%,26° C,↑ 1011 mb,45%,16 km,10400 m
2025-10-01 01:17:47,Thứ Tư, 1 tháng 10,29°C,2.4 (Thấp),B 2 km/h,78%,25° C,↔ 1011 mb,0%,10 km,9100 m
2025-10-02 01:08:26,Thứ Năm, 2 tháng 10,26°C,1.1 (Thấp),B 4 km/h,94%,25° C,↔ 1011 mb,1%,5 km,9100 m
2025-10-03 01:08:05,Thứ Sáu, 3 tháng 10,26°C,0.3 (Thấp),B 2 km/h,94%,25° C,↑ 1012 mb,90%,16 km,1700 m
2025-10-04 01:05:45,Thứ Bảy, 4 tháng 10,28°C,1.1 (Thấp),B 4 km/h,88%,26° C,↔ 1011 mb,0%,5 km,1800 m
2025-10-05 01:15:54,Chủ Nhật, 5 tháng 10,28°C,1.1 (Thấp),TTN 13 km/h,88%,26° C,↑ 1012 mb,76%,16 km,10200 m
2025-10-06 01:10:40,Thứ Hai, 6 tháng 10,29°C,1.1 (Thấp),TN 15 km/h,78%,25° C,↔ 1011 mb,0%,16 km,10400 m
2025-10-07 01:09:20,Thứ Ba, 7 tháng 10,27°C,1.1 (Thấp),T 11 km/h,94%,26° C,↑ 1011 mb,35%,16 km,10400 m
2025-10-08 01:09:02,Thứ Tư, 8 tháng 10,28°C,0.4 (Thấp),B 4 km/h,88%,26° C,↑ 1011 mb,85%,16 km,1500 m
2025-10-09 01:09:56,Thứ Năm, 9 tháng 10,27°C,1.1 (Thấp),ĐĐB 9 km/h,88%,25° C,↑ 1010 mb,30%,6 km,9100 m
2025-10-10 01:10:03,Thứ Sáu, 10 tháng 10,26°C,1.1 (Thấp),ĐB 6 km/h,94%,25° C,↑ 1010 mb,0%,8 km,10400 m
2025-10-11 01:06:56,Thứ Bảy, 11 tháng 10,27°C,1.1 (Thấp),0 km/h,94%,26° C,↔ 1009 mb,76%,3 km,9100 m
2025-10-12 01:13:05,Chủ Nhật, 12 tháng 10,28°C,1.1 (Thấp),B 6 km/h,83%,25° C,↑ 1009 mb,76%,8 km,10400 m
2025-10-13 01:15:05,Thứ Hai, 13 tháng 10,27°C,1.1 (Thấp),ĐĐN 7 km/h,94%,26° C,↑ 1010 mb,76%,16 km,9100 m
2025-10-14 01:09:57,Thứ Ba, 14 tháng 10,28°C,1.1 (Thấp),B 4 km/h,83%,25° C,↑ 1010 mb,0%,16 km,10400 m
2025-10-15 01:11:54,Thứ Tư, 15 tháng 10,28°C,1.0 (Thấp),ĐB 7 km/h,88%,26° C,↑ 1009 mb,0%,8 km,10400 m
2025-10-16 01:11:14,Thứ Năm, 16 tháng 10,27°C,1.0 (Thấp),B 11 km/h,88%,25° C,↑ 1009 mb,76%,16 km,10100 m
2025-10-17 01:10:49,Thứ Sáu, 17 tháng 10,28°C,1.0 (Thấp),BTB 6 km/h,83%,25° C,↑ 1010 mb,11%,8 km,9100 m
2025-10-18 01:07:31,Thứ Bảy, 18 tháng 10,27°C,0.0 (Thấp),BTB 6 km/h,88%,25° C,↑ 1009 mb,11%,8 km,10400 m
2025-10-19 01:19:01,Chủ Nhật, 19 tháng 10,27°C,2.2 (Thấp),T 6 km/h,88%,25° C,↑ 1008 mb,0%,16 km,9100 m
2025-10-20 01:16:18,Thứ Hai, 20 tháng 10,27°C,1.0 (Thấp),BTB 7 km/h,94%,26° C,↑ 1007 mb,0%,8 km,7100 m
2025-10-21 01:13:28,Thứ Ba, 21 tháng 10,28°C,1.0 (Thấp),ĐB 6 km/h,88%,26° C,↔ 1007 mb,11%,10 km,1700 m
2025-10-22 01:14:21,Thứ Tư, 22 tháng 10,27°C,0.3 (Thấp),TTN 6 km/h,94%,26° C,↑ 1008 mb,90%,2.8 km,100 m
2025-10-23 01:12:43,Thứ Năm, 23 tháng 10,26°C,0.7 (Thấp),B 7 km/h,94%,25° C,↑ 1009 mb,85%,8 km,9100 m
2025-10-24 01:09:17,Thứ Sáu, 24 tháng 10,26°C,1.0 (Thấp),TB 6 km/h,94%,25° C,↑ 1009 mb,76%,8 km,100 m
2025-10-25 01:10:02,Thứ Bảy, 25 tháng 10,25°C,0.3 (Thấp),BĐB 6 km/h,100%,25° C,↑ 1008 mb,85%,6 km,100 m
2025-10-26 01:17:02,Chủ Nhật, 26 tháng 10,25°C,1.0 (Thấp),B 4 km/h,100%,25° C,↑ 1009 mb,91%,16 km,10400 m
2025-10-27 01:18:36,Thứ Hai, 27 tháng 10,26°C,0.8 (Thấp),BTB 6 km/h,94%,25° C,↔ 1010 mb,76%,6 km,500 m
2025-10-28 01:11:21,Thứ Ba, 28 tháng 10,26°C,0.4 (Thấp),TB 6 km/h,94%,25° C,↑ 1009 mb,76%,16 km,1100 m
2025-10-29 01:16:24,Thứ Tư, 29 tháng 10,27°C,0.6 (Thấp),Đ 11 km/h,94%,26° C,↑ 1008 mb,35%,8 km,800 m
2025-10-30 01:15:45,Thứ Năm, 30 tháng 10,27°C,0.6 (Thấp),NĐN 9 km/h,88%,25° C,↑ 1009 mb,45%,16 km,1700 m
2025-10-31 01:13:29,Thứ Sáu, 31 tháng 10,28°C,0.9 (Thấp),ĐĐN 11 km/h,94%,27° C,↑ 1011 mb,11%,16 km,3400 m
2025-11-01 01:17:46,Thứ Bảy, 1 tháng 11,27°C,0.3 (Thấp),ĐB 7 km/h,94%,26° C,↑ 1012 mb,76%,5 km,100 m
2025-11-02 01:18:20,Chủ Nhật, 2 tháng 11,26°C,0.5 (Thấp),TB 7 km/h,94%,25° C,↑ 1011 mb,45%,5 km,300 m
2025-11-03 01:17:13,Thứ Hai, 3 tháng 11,26°C,0.3 (Thấp),B 2 km/h,94%,25° C,↑ 1010 mb,90%,16 km,900 m
2025-11-04 01:14:00,Thứ Ba, 4 tháng 11,27°C,0.9 (Thấp),B 4 km/h,94%,26° C,↑ 1010 mb,30%,5 km,9100 m
2025-11-05 01:15:34,Thứ Tư, 5 tháng 11,26°C,0.7 (Thấp),B 2 km/h,100%,26° C,↑ 1008 mb,35%,8 km,2800 m
2025-11-06 01:15:10,Thứ Năm, 6 tháng 11,26°C,0.3 (Thấp),T 9 km/h,100%,26° C,↑ 1007 mb,90%,2.0 km,1100 m
2025-11-07 01:14:16,Thứ Sáu, 7 tháng 11,28°C,0.5 (Thấp),TTN 13 km/h,94%,27° C,↑ 1007 mb,90%,16 km,7900 m
2025-11-08 01:11:00,Thứ Bảy, 8 tháng 11,27°C,0.7 (Thấp),NĐN 7 km/h,94%,26° C,↑ 1011 mb,76%,16 km,7900 m
2025-11-09 01:17:44,Chủ Nhật, 9 tháng 11,28°C,0.4 (Thấp),B 4 km/h,88%,26° C,↑ 1010 mb,85%,16 km,4900 m
2025-11-10 01:17:56,Thứ Hai, 10 tháng 11,27°C,2.0 (Thấp),B 2 km/h,94%,26° C,↑ 1010 mb,76%,5 km,9100 m
2025-11-11 01:15:32,Thứ Ba, 11 tháng 11,26°C,0.9 (Thấp),ĐĐB 11 km/h,94%,25° C,↑ 1010 mb,91%,16 km,7900 m
2025-11-12 01:15:03,Thứ Tư, 12 tháng 11,23°C,0.4 (Thấp),Đ 19 km/h,100%,23° C,↑ 1012 mb,90%,5 km,10100 m
2025-11-13 01:15:39,Thứ Năm, 13 tháng 11,27°C,0.6 (Thấp),ĐB 6 km/h,94%,26° C,↑ 1012 mb,85%,3 km,9100 m
2025-11-14 01:14:50,Thứ Sáu, 14 tháng 11,27°C,0.6 (Thấp),B 4 km/h,88%,25° C,↑ 1011 mb,30%,5 km,1800 m
2025-11-15 01:13:01,Thứ Bảy, 15 tháng 11,24°C,0.9 (Thấp),BĐB 7 km/h,78%,20° C,↑ 1011 mb,0%,16 km,10400 m
2025-11-16 01:19:37,Chủ Nhật, 16 tháng 11,26°C,0.9 (Thấp),B 7 km/h,88%,24° C,↑ 1011 mb,20%,5 km,4700 m
2025-11-17 01:15:50,Thứ Hai, 17 tháng 11,25°C,0.3 (Thấp),B 7 km/h,100%,25° C,↑ 1012 mb,91%,6 km,100 m
2025-11-18 01:14:58,Thứ Ba, 18 tháng 11,27°C,0.6 (Thấp),TN 7 km/h,83%,24° C,↑ 1011 mb,76%,16 km,7100 m
2025-11-19 01:15:05,Thứ Tư, 19 tháng 11,26°C,0.8 (Thấp),B 9 km/h,94%,25° C,↑ 1011 mb,0%,16 km,10400 m
2025-11-20 01:13:22,Thứ Năm, 20 tháng 11,26°C,0.8 (Thấp),BĐB 7 km/h,78%,22° C,↑ 1011 mb,0%,16 km,9100 m
2025-11-21 01:14:09,Thứ Sáu, 21 tháng 11,25°C,0.8 (Thấp),BĐB 9 km/h,78%,21° C,↑ 1013 mb,76%,16 km,9100 m
2025-11-22 01:11:42,Thứ Bảy, 22 tháng 11,25°C,0.8 (Thấp),BĐB 7 km/h,83%,22° C,↑ 1012 mb,31%,16 km,10400 m
2025-11-23 01:24:22,Chủ Nhật, 23 tháng 11,26°C,1.9 (Thấp),B 4 km/h,83%,23° C,↑ 1011 mb,11%,16 km,9100 m
2025-11-24 01:19:39,Thứ Hai, 24 tháng 11,27°C,0.8 (Thấp),ĐB 6 km/h,88%,25° C,↑ 1010 mb,0%,16 km,6100 m
2025-11-25 01:15:03,Thứ Ba, 25 tháng 11,27°C,0.8 (Thấp),ĐB 11 km/h,73%,22° C,↑ 1009 mb,0%,16 km,10400 m
2025-11-26 01:15:17,Thứ Tư, 26 tháng 11,25°C,0.8 (Thấp),BĐB 9 km/h,69%,19° C,↑ 1010 mb,0%,16 km,10200 m
2025-11-27 01:14:11,Thứ Năm, 27 tháng 11,23°C,0.8 (Thấp),BTB 9 km/h,77%,19° C,↑ 1011 mb,0%,16 km,10400 m
2025-11-28 01:13:08,Thứ Sáu, 28 tháng 11,21°C,0.8 (Thấp),B 11 km/h,72%,16° C,↑ 1011 mb,31%,16 km,9100 m
2025-11-29 01:13:39,Thứ Bảy, 29 tháng 11,23°C,0.8 (Thấp),BTB 9 km/h,77%,19° C,↑ 1011 mb,0%,16 km,9100 m
2025-11-30 01:23:52,Chủ Nhật, 30 tháng 11,25°C,1.9 (Thấp),BTB 7 km/h,83%,22° C,↑ 1011 mb,0%,16 km,9100 m
2025-12-01 01:28:25,Thứ Hai, 1 tháng 12,28°C,1.9 (Thấp),TTB 6 km/h,65%,21° C,↑ 1012 mb,0%,16 km,9100 m
2025-12-02 01:16:38,Thứ Ba, 2 tháng 12,27°C,0.4 (Thấp),TTB 7 km/h,88%,25° C,↑ 1011 mb,90%,8 km,10400 m
2025-12-03 01:17:01,Thứ Tư, 3 tháng 12,28°C,0.0 (Thấp),B 4 km/h,88%,26° C,↑ 1012 mb,91%,16 km,1500 m
2025-12-04 01:16:51,Thứ Năm, 4 tháng 12,25°C,0.2 (Thấp),Đ 17 km/h,100%,25° C,↑ 1012 mb,90%,8 km,1800 m
